BioProject	llm_treatment	llm_study_setting	llm_named_pathogen	llm_named_host	llm_tissue	llm_kw_treatment_agree	llm_kw_setting_agree	llm_confidence	llm_rationale
PRJNA896566	host_study	field		Zea mays	Leaf	true	true	high	The study focuses on the biological aspects of maize senescence without declaring a specific pathogen, matching the host study treatment. The field setting is supported by the BioSample summary indicating the geographic location as USA and the nature of the study being a natural interaction study.
PRJNA1363716	surveillance	field	Phytophthora infestans	Solanum tuberosum	Leaf	false	true	high	The study involves field surveys of potato responses to natural infection by P. infestans, aligning with the surveillance classification. However, the keyword classifier indicated 'single' treatment, which conflicts with the presence of multiple species in the BioSample summary.
PRJNA834642	coinf_experiment	lab	MR5	M9T337	roots	false	true	high	The study involves the interaction between two pathogens (T. asperellum 6S-2 and MR5) and thus qualifies as a co-infection experiment. The treatments suggest controlled laboratory conditions, which aligns with the bioproject's focus on induced defense responses.
PRJNA515188	single	lab	Fusarium oxysporum f. sp. radicis lycopersici	Solanum lycopersicum	stem base	true	true	high	The study focuses on a single declared pathogen (Fusarium oxysporum) in a controlled lab setting with a specific host (Solanum lycopersicum) and tissue type (stem base), and the keyword classifier output aligns with this classification.
PRJNA947913	surveillance	field		melon	Fruit	false	true	high	The study involves multiple BioSamples with a co-infection flag indicating multi-species, and is focused on field-collected samples of melon fruits, which aligns with a surveillance context rather than a single-pathogen study.
PRJNA1421134	surveillance	field			leaf tissue	false	true	high	The study investigates the microbial community composition in field-collected plant samples without a focus on a single declared pathogen, indicating a field survey context. The keyword classifier indicates a single treatment which conflicts with the multi-species analysis presented.
PRJNA1056156	abiotic_stress	field		Lilium brownii	Root, Stem, Bulb, Leaf	false	true	high	The study focuses on the autotoxic effects of a chemical on Lilium brownii rather than a pathogen, indicating an abiotic stress context. The samples were extracted from field-collected plants, which aligns with a field study setting.
PRJNA1185251	host_study	lab		Arachis hypogaea	main stem shoot tip, lateral stem shoot tip, partially expanded main stem leaf, partially expanded leaf from the first lateral shoot	true	true	high	The study focuses on the gene expression patterns of peanut cultivars without involving any pathogens, which aligns with the 'host_study' classification. Additionally, the controlled growth conditions in the field setting indicate a 'lab' study setting.
PRJNA509606	single	lab	Rhizophagus irregularis	Solanum lycopersicum	hairy roots	true	true	high	The study investigates transcriptional changes in tomato hairy roots following inoculation with a single arbuscular mycorrhizal fungus, clearly indicating a single treatment, and it is conducted in a lab environment.
PRJNA273910	surveillance	field		Cucumis melo	flesh	false	true	high	The study focuses on transcriptome analysis of wild-type melon RILs without any deliberate pathogen inoculation, indicating a field survey context. The keyword classifier indicated 'single' treatment, but the presence of multiple co-infected organisms suggests a misclassification.
PRJNA540081	surveillance	field	Fusarium species	Triticum aestivum	spike	false	true	medium	The classification leans towards surveillance due to the study's focus on diseases in natural field conditions and unintentional co-infections detected. The 'single' treatment flag is contradicted by the presence of multi-species co-infection, which creates uncertainty around the treatment classification.
PRJNA372372	surveillance	field		Sorghum bicolor		false	true	medium	The BioProject appears to involve a field setting with the identification of multiple species, indicating a survey-like approach rather than a controlled single-pathogen experiment. The treatment is classified as surveillance due to the absence of a declared primary pathogen.
PRJNA1457645	single	lab	Bacillus halotolerans	Pyrus bretschneideri	fruits	true	true	high	The study involves a controlled lab experiment with a single treatment involving Bacillus halotolerans. The classification aligns with the keyword classifier output, indicating a single treatment in a lab setting.
PRJNA548845	abiotic_stress	lab		Zea mays	Roots	true	true	high	The study focuses on the effects of cadmium treatment on maize (Zea mays) in a controlled lab environment, indicating an abiotic stress context. The keyword classifier output aligns with these findings.
PRJDB39569	host_study	unclear		watermelon	roots	false	false	medium	The study focuses on the watermelon transcriptome and does not involve a single declared pathogen, but instead aims to explore host response mechanisms. The study setting is unclear due to insufficient information in the provided BioSample summary.
PRJNA765923	single	lab	Phytophthora infestans	Solanum tuberosum	Leaf	true	true	high	The study explicitly focuses on the response of potato cultivars to inoculation with P. infestans, indicating a single-pathogen treatment. The controlled environment further supports a lab study setting.
PRJNA711130	surveillance	field		Sorghum bicolor		false	true	medium	The BioProject indicates co-infection with multiple species, aligning with a field survey context rather than a single-pathogen study. However, the lack of explicit details about the context reduces confidence in the classification.
PRJNA1491595	surveillance	field		Citrus sinensis	root	false	true	high	The study focuses on transcriptomics in a field survey context, specifically investigating the response of Citrus sinensis to various factors, including potential co-infections detected by k-mer analysis. The keyword classifier indicates a 'field' study setting, aligning with the context of the BioProject.
PRJNA313243	host_study	field		Vitis davidii	berry skin	true	true	high	The study focuses on the transcriptome of Vitis davidii without intentional pathogen inoculation, aligning with 'host_study'. The samples were collected from a field setting, thus supporting the 'field' study setting classification.
PRJNA552611	single	lab	Melampsora lini	Linum usitatissimum	leaves	true	true	high	The study focuses on a single pathogen, Melampsora lini, infecting the flax host, Linum usitatissimum, in a controlled laboratory setting. The classification aligns with the keyword classifier output, indicating a single treatment and lab study setting.
PRJNA720576	single	lab	Fusarium proliferatum	Malus domestica	root	true	true	high	The study specifically focuses on the infection of apple root tissues by a single pathogen, Fusarium proliferatum, in a controlled lab setting. The keyword classifier output aligns with these conclusions, indicating a single treatment and lab study setting.
PRJNA737338	host_study	field		Cucumis melo	Fruit	true	true	high	The study focuses on the biology of melon (Cucumis melo) during fruit development without explicit pathogen inoculation. It is classified as a host study in a field setting as indicated by the context of the research and the nature of the sample collection.
PRJNA1392009	host_study	lab	Magnaporthe oryzae	Triticum aestivum	leaf	true	true	high	The treatment is classified as 'host_study' since it focuses on the host's response to a declared pathogen, while the study setting is confirmed as 'lab' due to the controlled inoculation conditions described in the study. The keyword classifier output aligns with this classification.
PRJNA531693	single	lab	Fusarium graminearum	Triticum turgidum	Spike	true	true	high	The study involves a single pathogen (Fusarium graminearum) inoculation to assess host response, supporting the single treatment classification. The controlled environment settings confirm the lab classification.
PRJNA564795	surveillance	field	Cercospora zeina	Zea mays	lower leaf	false	true	high	The treatment classification is 'surveillance' because the study appears to be assessing the effects of a naturally occurring pathogen in field conditions without a controlled inoculation. The study setting aligns with 'field' based on the collection of samples from a natural infection scenario.
PRJNA798863	abiotic_stress	field		Zea mays	root	true	false	medium	The study focuses on the effects of substrate and root hair formation on maize, with indications of drought stress, which aligns with abiotic stress treatment. However, the keyword classifier suggests a lab setting, while the study description indicates field conditions, leading to uncertainty in the setting classification.
PRJNA1467849	surveillance	field		Malus domestica	fruit flesh	false	true	medium	The study involves multiple species co-infections detected, indicating a surveillance context rather than a controlled single-pathogen treatment. The setting is appropriately labeled as field based on the geo-location data.
PRJNA772025	host_study	lab		Ipomoea batatas	root skin, leaf vein base	false	true	high	The study focuses on understanding the coloring mechanism of a sweet potato mutant through transcriptome analysis without involving intentional pathogen inoculation, indicating it is a host study. The controlled setting confirms that it is conducted in a lab environment.
PRJNA986958	single	lab	Botrytis cinerea	Arabidopsis thaliana	leaves	true	true	high	The study solely focuses on the interaction between Arabidopsis thaliana and Botrytis cinerea in a lab setting with controlled inoculation, indicating a single-pathogen treatment context.
PRJNA1054220	abiotic_stress	lab		Glycine max	Whole plant	false	true	high	The study focuses on soybean under tetracycline stress, indicating it assesses the response to an abiotic treatment rather than a pathogen. The setting is clearly lab-based as stated in the title and description.
PRJNA649099	surveillance	field		Triticum aestivum	shoot	false	true	medium	The study is focused on identifying drought resistance mechanisms in local wheat cultivars without explicitly declaring a single pathogen, indicating a field survey context. The classification of treatment as 'surveillance' corresponds with the findings of co-infection but not with a single pathogen focus.
PRJNA628830	surveillance	field	Wheat stripe mosaic virus	Triticum aestivum	Plant leaf	false	true	high	The study is a field survey characterizing disease incidence associated with Wheat stripe mosaic virus in a natural population of wheat, rather than a controlled experimental treatment with a single declared pathogen.
PRJNA1419210	abiotic_stress	field		Oryza sativa	root	false	true	medium	The study investigates phytotoxicity mechanisms in rice seedlings exposed to platinum nanoparticles rather than focusing on a specific pathogen, indicating an abiotic stress context. However, the keyword classifier suggests a single treatment, which does not align with the intention of the research.
PRJNA773958	surveillance	field		Arachis hypogaea	testa	false	true	medium	Although the RNA-seq data indicates detected co-infections, the study primarily focuses on host plant transcriptome analysis in a field setting without declared pathogens. The classification aligns with field survey characteristics, but the presence of co-infections contradicts a single treatment classification.
PRJNA1332781	host_study	lab	Fusarium oxysporum f. sp. vasinfectum	Gossypium barbadense	root	true	true	high	The study focuses on the host's transcriptional responses to a declared pathogen in a controlled laboratory setting, aligning with the classification of 'host_study' and 'lab'. The primary pathogen has been identified as Fusarium oxysporum f. sp. vasinfectum, and root tissue is explicitly sampled.
PRJNA1272129	host_study	field		Hordeum vulgare	spikelet	true	true	high	The study focuses on the molecular mechanisms of quercetin content in different barley types without involving pathogens, indicating a host study. It was conducted under field conditions with barley plants, and the RNA samples collected are from spikelets.
PRJNA1219139	surveillance	field		Prunus persica	Leaf	false	true	high	The study aims to characterize the virome, indicating a broader surveillance of viruses in natural conditions. The keyword classifier output suggests a single treatment but the evidence of multiple species co-infection and the field setting indicates this study is more aligned with surveillance.
PRJEB81359	surveillance	unclear		Capsicum annuum		false	false	medium	The study focuses on the whole transcriptome analysis of a host plant without specific mention of a pathogen and states the context of understanding flavor and aroma, suggesting a field survey nature. However, the absence of clear field or lab context leads to uncertainty in the study setting.
PRJNA1255403	single	lab	Fusarium oxysporum	Oryza sativa	root	true	true	high	The study describes transcriptional changes in rice roots infected with a single declared pathogen, Fusarium oxysporum, under controlled laboratory conditions. Both the keyword classifier outputs and the bio-sample summary support this classification.
PRJNA573599	host_study	lab	Trichoderma virens	Zea mays		false	true	medium	The study focuses on the interaction between maize and Trichoderma virens, characterizing host response to a beneficial fungus rather than a declared pathogen. Thus, it aligns more closely with a host study. The study was conducted in a lab setting, which is consistent with the classifier's output.
PRJNA1156254	single	lab	Fusarium pseudograminearum		stem tissues	true	true	high	The study focuses on a single pathogen, Fusarium pseudograminearum, and is conducted in a controlled lab setting. The 'single' treatment classification aligns with the single-pathogen focus stated in the title and methods.
PRJNA1133704	host_study	lab		Triticum aestivum	Root	false	true	medium	The study investigates the effects of phosphorus-solubilizing bacteria on wheat roots in a controlled lab setting, but it does not involve a single declared pathogen, aligning it more with a host study than the single treatment classification.
PRJNA548392	host_study	lab	Fusarium oxysporum f. sp. conglutinans	Brassica oleracea	root	false	true	high	The study focuses on the analysis of gene expression in response to infection by a specific pathogen (Fusarium oxysporum f. sp. conglutinans) in a controlled lab setting. The keyword classifier indicated a single treatment, whereas the presence of co-infection from the BioSample summary suggests a discrepancy.
PRJNA1390310	host_study	field	Fusarium, Fpg	Triticum aestivum	stem	false	true	medium	The BioSamples indicate the presence of multiple co-infections while the keywords suggest a single-pathogen study, creating a discrepancy in treatment classification. The study setting aligns with the field classification based on geo-location and sample collection context.
PRJNA395311	abiotic_stress	lab		Oryza sativa	salt	true	false	medium	The study is focused on the effects of salt treatment on rice seedlings, which classifies it under abiotic stress. However, the information about the study setting is inconsistent, as the lab classification is inferred from the methods but is not clearly stated.
PRJNA764554	single	lab	turnip mosaic virus (TuMV)	Brassica rapa	leaves	true	true	high	The study specifically focuses on the response of Brassica rapa to a single declared pathogen, TuMV, confirming it is a single-pathogen inoculation. The described setting is a controlled laboratory environment with specific inoculation protocols.
PRJNA862687	abiotic_stress	field		Triticum aestivum	spikes	false	true	medium	The study focuses on understanding the molecular mechanisms of pre-harvest sprouting in wheat, which indicates an abiotic stress response. Although the keyword classifier output indicates single-pathogen experiments, the mention of multiple BioSamples suggests a broader study context related to field surveys rather than a focused pathogen study.
PRJNA1443087	abiotic_stress	lab		Poncirus trifoliata	Root	true	true	high	The study focuses on the role of arbuscular mycorrhizal fungi in enhancing manganese tolerance, indicating an abiotic stress context rather than a single-pathogen experiment. The controlled lab setting aligns with the classification output.
PRJEB59238	host_study	lab	Fusarium graminearum	Triticum aestivum	spikelets	false	true	high	The study involves multiple wheat cultivars inoculated with a pathogen but focuses on host responses rather than a single-pathogen treatment, which aligns with host study categorization. The study is conducted in a controlled lab setting, confirming the study setting classification.
PRJEB91339	host_study	unclear		Humulus lupulus	cones	false	false	medium	The study focuses on the transcriptomic analysis of hop hybrids and does not indicate the presence of a declared pathogen. The treatment is classified as a host study due to the focus on host biology. The study setting remains unclear as there is insufficient information on sample origin.
PRJNA1055424	surveillance	field		Arabidopsis thaliana	Leaf	false	true	high	The study involves field-collected samples of Arabidopsis thaliana with no declared intentional pathogen inoculation, indicating it is a field survey rather than a single-pathogen experiment. The keyword classifier aligns with the field setting but disagrees on treatment.
PRJNA497474	host_study	lab		peanut	seed coat	true	true	high	The study focuses on the transcriptome of a peanut mutant without any mention of inoculation with pathogens, indicating a pure host biology approach. The lab setting is confirmed by the controlled conditions outlined in the methods.
PRJNA516527	host_study	field		Zea mays	ear leaf	true	true	high	The RNA sequencing focuses on the biology of the maize plant without intentional pathogen inoculation, classifying it as a host study. The samples are collected from the field, consistent with the identified study setting.
PRJNA759756	abiotic_stress	field		Triticum aestivum	root	true	true	high	The study focuses on transcriptome profiling related to iron deficiency and resupply, indicating it deals with abiotic stress rather than a single or intentional co-infection with pathogens. The classification as a field study is consistent with the host's natural growing conditions.
PRJNA415853	host_study	lab	Puccinia graminis f. sp. tritici	Triticum aestivum	leaf	false	true	medium	The study focuses on the host-pathogen interaction in a controlled lab setting with a defined pathogen, but the keyword classifier output indicates 'single' despite the presence of multiple pathogen isolates. This suggests a discrepancy in categorization regarding co-infections.
PRJNA483762	single	lab	Fusarium graminearum	Triticum aestivum	coleoptile	true	true	high	The study focuses on the response of wheat coleoptiles to a single pathogen, Fusarium graminearum, indicating a single-pathogen inoculation. The controlled environment of RNA-seq analysis supports the classification of the study setting as lab.
PRJNA1127037	host_study	field	root-knot nematodes	Raphanus sativus	lateral roots	false	true	medium	The study investigates the response of radish to root-knot nematodes, indicating it is a host response rather than a single-pathogen inoculation. The samples are derived from the field, consistent with the field setting classification.
PRJNA479522	surveillance	field		Solanum tuberosum	Leaf	false	true	high	The study focuses on diversity and genomic selection in potato without targeting a specific pathogen, indicating a field survey context. The multi-species co-infection flag also supports the classification as surveillance.
PRJNA429568	surveillance	field		Brassica napus	Leaf	false	true	medium	The study investigates structural and functional consequences of allopolyploidy on Brassica napus, with the keyword classifier indicating a field setting; however, the co-infection flag suggests the presence of multiple species, which contradicts the 'single' treatment classification, leading to the decision of surveillance based on the context of field survey.
PRJNA1058883	coinf_experiment	lab	Colletotrichum gloeosporioides	Stylosanthes guianensis	leaves	false	true	high	The study involves inoculation of Stylosanthes guianensis with Colletotrichum gloeosporioides, which indicates a controlled coinfection experiment. The keyword output correctly identifies the study setting as lab but inaccurately classifies the treatment as host study instead of coinf_experiment.
PRJNA598331	single	lab		Arabidopsis thaliana	inflorescence	true	true	high	The study focuses on transposon silencing mechanisms in a controlled lab environment with Arabidopsis thaliana as the host. The co-infection flag indicates the presence of multiple species, but the treatment is classified as single due to the absence of direct pathogen inoculation reported.
PRJNA757397	coinf_experiment	lab	Fusarium graminearum	Zea mays	root	false	true	high	The study involves inoculation with Fusarium graminearum and examines maize's response to infection, which indicates a co-infection context rather than a single-pathogen experiment. The setting is categorized as lab, consistent with the keyword classifier output.
PRJNA551227	single	unclear	Pichia membranaefaciens	Prunus persica	wound tissue	true	false	medium	The study focuses on the response of peach (Prunus persica) to a single pathogen, Pichia membranaefaciens, thus aligning with a single treatment classification. The study setting is unclear due to insufficient information regarding whether the samples were collected in the field or were part of a controlled experiment.
PRJNA667277	host_study	lab	Colletotrichum sublineolum	Sorghum bicolor	leaf	true	true	high	The study focuses on the gene expression response of sorghum to a specific fungal infection in a controlled lab setting, aligning with host biology. The classification matches with the identified keywords indicating a host study conducted in a lab environment.
PRJEB48949	surveillance	field	Botrytis cinerea	Vitis vinifera	berry	false	true	high	The study collects field samples of Vitis vinifera exposed to noble rot, suggesting a natural co-infection situation rather than an intentional inoculation. The presence of multiple species in the BioSamples also supports the surveillance classification.
PRJDB11138	surveillance	field		Glycine max		false	true	medium	The classification of 'surveillance' is chosen due to the study's focus on field-collected samples and the context of understanding the root-associated environments of Glycine max. The interpretation suggests a survey of co-infections rather than an intentional experiment with a single pathogen or co-infections.
PRJNA828366	surveillance	field		Arachis hypogaea	pod	false	true	medium	The study examines the metabolic and transcriptomic responses of Arachis hypogaea under natural field conditions, suggesting it is a field survey rather than a directly experimental investigation of single or co-infections. There is mention of multi-species co-infections, but the study context aligns with surveillance without a defined primary pathogen.
PRJNA1245489	single	lab	Verticillium dahliae	Gossypium hirsutum	root, stem, leaf	false	true	medium	While the treatment is classified as 'single', the BioSample summary indicates multi-species co-infection, suggesting potential discrepancies. The study setting is appropriately classified as 'lab' based on controlled conditions described in the methods.
PRJNA875116	surveillance	unclear	GFLV	C. quinoa	infected leaves	false	false	medium	The study involves analyzing RNA from infected plants which suggests a monitoring context, but the lack of clear information on specific experimental design and collection methods makes the study setting unclear. The output indicates a single treatment flag, but the presence of multi-species samples leads to a classification of surveillance.
PRJNA1106750	abiotic_stress	field		Triticum aestivum	root	true	true	high	The study investigates the effects of drought stress on the spring wheat transcriptome, fitting the abiotic stress treatment classification. Furthermore, field experiments indicate a field study setting.
PRJNA437324	host_study	field		Zea mays	Whole seedlings including roots	false	true	medium	The study primarily focuses on the genetic determinants of stalk traits in Zea mays, indicating a host biology study rather than a single-pathogen treatment. The study setting is confirmed as field-based through the described sampling context.
PRJNA719608	abiotic_stress	field		Brassica juncea	root	true	true	high	The study focuses on drought stress in Brassica juncea, indicating an abiotic stress treatment, and the samples were collected from the field in China, confirming the study setting as field. There is no mention of pathogens, aligning with the classification.
PRJNA246444	coinf_experiment	lab	Fusarium oxysporum f. sp. ciceris	Cicer arietinum	Root	false	true	high	The study involves the examination of chickpea genotypes in response to infection by Fusarium oxysporum, indicating a focus on co-infecting organisms rather than a single-pathogen experiment. The study setting is a controlled lab environment, as indicated by the methods.
PRJNA562045	abiotic_stress	field		Zea mays	seminal root	true	true	high	The study focuses on the effects of drought on maize seminal roots, indicating an abiotic stress treatment. The samples are collected from a field setting, aligning with the classification outputs.
PRJNA1150543	host_study	lab		Arabidopsis thaliana	whole seedlings	true	true	high	The study focuses on the regulatory mechanisms of the host Arabidopsis thaliana without implicating any pathogen and is conducted in a controlled lab setting, aligning with the classification derived from keyword analysis.
PRJNA327437	single	lab	Sclerotinia sclerotiorum	Brassica napus	hyphae, leaf	true	true	high	The study focuses on the infection of Brassica napus by a single pathogen, Sclerotinia sclerotiorum, in a controlled lab setting, consistent with both the treatment and study setting classifications. The co-infection flag indicates a multi-species context, but the explicit goal is to study the interaction with a single declared pathogen.
PRJNA1041741	host_study	lab	Sclerotinia sclerotiorum	Arabidopsis thaliana	leaves	false	true	high	The study focuses on the host's transcriptomic response to a single pathogen under controlled lab conditions, indicating it is more representative of a host study rather than a single-pathogen inoculation. The treatment classification does not align with the fact that the study includes a broad analysis of immune responses rather than just a response to one pathogen injection.
PRJNA473829	single	lab	Botrytis cinerea	Arabidopsis thaliana	Leaf	false	true	medium	Although the treatment indicates 'single', the BioSample summary suggests multiple species detected, which conflicts with the keyword classifier output. The study setting is correctly identified as lab due to the controlled inoculation conditions.
PRJNA1030920	host_study	lab		Capsicum annuum	pericarp	true	true	high	The study focuses on the development and transcriptome analysis of Capsicum annuum (pepper) with no reference to a specific pathogen, which aligns with the 'host_study' classification. The controlled environment of a greenhouse confirms the 'lab' study setting.
PRJEB76472	host_study	unclear		Prunus avium	phloem, xylem	false	false	medium	The study focuses on the gene regulatory network underlying wood formation in Prunus avium without explicit mention of a pathogen, leading to the classification of a host study. However, the lack of clarity on study settings and treatment from the classified keywords contributes to medium confidence.
PRJNA755474	surveillance	field	Botrytis	Arabidopsis thaliana	leaves	false	true	medium	The study involves field-collected samples with evidence of multi-species infection, suggesting a surveillance context rather than a single-pathogen treatment. The keyword classifier indicates a single treatment, conflicting with the observed multi-species co-infection flag.
PRJNA721951	single	lab	Ustilago maydis	Zea mays	seedling leaf	true	true	high	The study involves the infection of maize seedlings with a single pathogen, Ustilago maydis, in a controlled lab setting, allowing for high confidence in classification as a single treatment in a lab context.
PRJNA605241	surveillance	field	TuMV	Arabidopsis thaliana	leaf	false	true	high	The study involves the collection of field samples and focuses on the impact of aphid feeding and potyvirus infection, indicating a context of natural infection rather than intentional single-pathogen experiments. The classification aligns with the multi-species co-infection flag present in the BioSample summary.
PRJNA1188982	single	lab	Fusarium	Triticum aestivum	leaf	true	true	high	The study focuses on the interaction between TaHSP18.6 and Fusarium crown rot in a controlled lab setting with specific host and tissue types, confirming a single treatment context despite multi-species detection in RNA-seq data.
PRJNA792338	host_study	lab		Arabidopsis thaliana	shoot apex	true	true	high	The study focuses on the function of ARGONAUTE proteins in Arabidopsis thaliana's shoot apical meristem, indicating it is a pure host biology study without intentional pathogen involvement. The RNA-seq experiments are conducted in a laboratory setting with controlled conditions.
PRJNA1123450	host_study	field	Ustilago maydis	Zea mays		false	true	medium	The study does involve a host-pathogen interaction with Ustilago maydis, but the focus on climate effects and reaction of multiple cultivars indicates a broader host study context rather than a single pathogen treatment. The study is set in a field context, agreeing with the keyword classification.
PRJNA804213	host_study	lab	Botrytis cinerea, Sclerotinia sclerotiorum	Lactuca sativa	leaf	false	true	medium	The study aims to identify genetic resistance to fungal pathogens, suggesting a focus on host response rather than direct inoculation of a single pathogen. The keyword analysis indicates a single treatment, which conflicts with the multi-species pathogenesis observed.
PRJNA531296	abiotic_stress	lab		Medicago sativa	Roots	true	true	high	The study focuses on the response of Medicago sativa L. roots to drought stress, indicating an abiotic treatment in a laboratory setting. No infectious pathogens are involved in the described experiments.
PRJDB39419	single	lab	Puccinia striiformis	Triticum aestivum		true	true	high	The study describes the cloning of a resistance gene against a single pathogen, indicating a controlled study context. The treatment is classified as single based on the provided keyword classifier output, which aligns with the single-patent focus of the research.
PRJEB46563	host_study	lab		Arabidopsis thaliana	seedling, bud	false	true	medium	The study involves RNA-seq from Arabidopsis thaliana in a lab setting focusing on mutant lines without a clear indication of pathogen involvement, which supports a host study classification. The keyword classifier indicated single treatment, but the summary suggests multiple species, leading to uncertainty.
PRJNA1015022	surveillance	field			root	false	true	medium	The co_infection flag indicates there are multiple species detected, suggesting a field survey study design. The output indicates a single treatment, which is inconsistent with the multi-species finding, hence the classification of treatment is surveillance.
PRJNA977839	coinf_experiment	lab	Fusarium graminearum	Triticum turgidum subsp. durum	leaf	true	true	high	The study involves co-treatment with oligogalacturonides and Fusarium graminearum spores, indicating intentional multi-pathogen inoculation. The RNA-seq data was generated in a controlled lab setting, consistent with the study's design.
PRJNA1129295	coinf_experiment	lab		Zea mays	leaf	true	true	high	The study involves RNA-seq analyses of maize leaves and has a multi-species co-infection flag, indicating intentional investigation of co-infecting organisms. It is conducted in a controlled lab setting, aligning well with the keyword classifier output.
PRJNA603232	abiotic_stress	field		Arachis hypogaea	seedlings	true	true	high	The primary focus of the study is on the response of Arachis hypogaea to abiotic stress (salt and drought), and the samples were collected from a field setting. Additionally, there is no indication of intentional pathogen inoculation.
PRJNA1195373	host_study	lab	Verticillium dahliae	Gossypium hirsutum	root	false	true	high	The study focuses on the host response to a single declared pathogen, Verticillium dahliae, but the classifier indicates a single co-infection scenario. The study was conducted in a lab setting, as indicated by the reference to controlled experiments and inoculation with the pathogen.
PRJNA918399	host_study	lab	Zymoseptoria tritici	Triticum aestivum		true	true	high	The study focuses on the biology of the host Triticum aestivum in response to the pathogen Zymoseptoria tritici in a controlled lab setting. The classification aligns with the keyword classifier output indicating a host study in a lab environment.
PRJNA477359	coinf_experiment	lab	Botrytis cinerea	Arabidopsis thaliana	rosette	true	true	high	The study involves dual RNA-Seq analysis of Arabidopsis thaliana infected with Botrytis cinerea under varying nitrogen conditions, indicating an intentional co-infection scenario. The controlled lab setting further supports this classification.
PRJNA695871	abiotic_stress	lab		Solanum lycopersicum	root	false	true	medium	The study focuses on how root endophytic bacteria influence plant stress adaptation to cadmium accumulation rather than on direct pathogen interactions. It is classified as abiotic stress due to the concern of metal accumulation, despite the presence of endophytic bacteria suggesting a multi-species co-infection context.
PRJEB39308	host_study	lab	Leptosphaeria maculans	Brassica napus		false	true	medium	The study appears to focus on the interactions between a single pathogen and its host plant rather than on a single-pathogen inoculation experiment. However, the keyword classifier output suggests a single treatment, which doesn't align with the study's intention to explore multi-species interactions during the pathogen's lifestyle stages.
PRJNA1103102	surveillance	field		Zea mays subsp. mays	ear, tassel	false	true	high	The classification of treatment is 'surveillance' because the co-infection flag indicates multiple species with no intentional inoculation. The study setting is 'field' as samples were collected from the field in China, confirming the contextual interpretation of detected co-infections.
PRJNA1424250	abiotic_stress	field	Verticillium dahliae	Gossypium hirsutum	root	false	true	high	The study focuses on the response of cotton roots to stress from Verticillium dahliae, which indicates a single-pathogen context. However, the presence of multiple BioSamples classified as co-infections suggests that there may be interactions with other organisms, aligning more with an abiotic stress classification. The study is conducted in a natural field setting, confirming the setting classification.
PRJNA1465640	coinf_experiment	lab	Botrytis cinerea	Arabidopsis thaliana	Leaf	false	true	high	The study involves RNA-seq analysis of Arabidopsis thaliana after inoculation with Botrytis cinerea, indicating a co-infection experiment. Although the keyword classifier output indicates a single treatment, the presence of multiple BioSamples points to multi-pathogen contexts.
PRJNA321917	coinf_experiment	lab	Sclerotinia sclerotiorum	Brassica napus	leaf	false	true	medium	Although the study uses a single declared pathogen (Sclerotinia sclerotiorum), it shows evidence of multi-pathogen presence based on the co-infection flag. The study is conducted in a laboratory setting, confirming the study's classification as a controlled experiment.
PRJNA864642	surveillance	field		melon	peel, pulp	false	true	medium	The study setting matches field surveillance as indicated by the defined 'field' context, but the treatment classification suggests single-pathogen focus, which conflicts with the detected multi-species co-infection observed. There is no declared primary pathogen, supporting the surveillance classification.
PRJNA882561	host_study	field		Zea mays	pericarp	true	true	high	The study focuses on the transcriptome dynamics of maize pericarp development without any mention of a specific pathogen, aligning with the 'host_study' classification. Additionally, the field setting indicates natural conditions under which the samples were collected.
PRJNA508768	surveillance	field		Zea mays	root	false	true	high	The study involves investigating aluminum resistance in popcorn (Zea mays) without a declared pathogenic focus, which aligns with field observations rather than intentional co-infection experiments. The keyword classifier indicated a field study setting, confirming this observation.
PRJNA733070	host_study	lab	Bacillus subtilis	Cucumis melo	seeds, leaves	false	true	medium	The study focuses on the response of Cucumis melo to Bacillus subtilis treatment, which aligns more with host biology rather than a single-pathogen treatment. The study setting is identified as lab based on the experimental design described.
PRJNA1240218	host_study	lab	Ustilago maydis, Sporisorium reilianum	Zea mays	leaf	true	true	high	The study focuses on the genetic basis of differences between two closely related fungi in a controlled lab setting while using the host plant Zea mays. The keyword classifications align with the context of the study.
PRJNA1022321	single	lab	Botrytis cinerea	Lactuca sativa	leaf	true	true	high	The study investigates the impact of LsERF1 overexpression in lettuce specifically under Botrytis cinerea inoculated conditions, confirming it as a single-pathogen inoculation in a lab setting. The RNA-seq analysis is conducted on leaf tissue of the host plant Lactuca sativa.
PRJNA1148431	surveillance	unclear		Castanea dentata		false	false	medium	The BioProject reports multiple co-infecting species but does not indicate an intentional experimental design or control, suggesting it is more of a surveillance context. However, the lack of clear study setting information leaves some uncertainty.
PRJNA850008	host_study	lab		Arabidopsis thaliana	seedlings	false	true	medium	The treatment classification is based on the focus on doubled haploids and DNA methylation rather than on pathogenic interactions. Since the study takes place in a controlled environment and involves a host plant, the study setting is labeled as lab. However, the outputs suggest a single-pathogen focus which may not fully align with the host study classification.
PRJNA265955	host_study	lab		Gossypium hirsutum	leaf	false	true	medium	The study focuses on the plant's transcriptome in relation to gland development, without directly inoculating a pathogen, aligning with host biology rather than a single-pathogen treatment. However, the RNA-seq data mining mentioned may imply potential co-infections, contributing to uncertainty in the classification.
